"x" "y"
-3.04850989962427 58.849255337541
-2.93766257470076 58.7123227896095
-2.89332364473135 58.8368069240927
-2.8157305172849 58.8990489913342
-2.69379845986904 58.9612910585758
-2.78247631980785 58.9861878854724
-2.82681524977725 59.0235331258174
-2.79356105230020 59.1480172603005
-2.68271372737669 59.085775193059
-2.59403586743788 59.085775193059
-2.56078166996083 59.1355688468522
-2.66054426239198 59.2102593275421
-2.38342595008321 59.2973982216803
-2.57186640245318 59.3347434620252
-2.66054426239198 59.247604567887
-2.8600694472543 59.247604567887
-2.88223891223900 59.4094339427151
-3.07067936460897 59.3347434620252
-2.99308623716251 59.247604567887
-2.99308623716251 59.1978109140938
-3.15935722454778 59.1480172603005
-3.39213660688715 59.1480172603005
-3.3810518743948 58.9737394720241
-3.4475602693489 58.9114974047826
-3.33671294442539 58.7870132702994
