"x" "y"
-4.0 58.5692627586394
-4.0 59.9778799659232
-5.41039497835025 59.9052708315272
-6.31617728896945 59.687443428339
-7.57916952490327 58.9758739112574
-7.57916952490327 58.9758739112574
-9.25040167548237 58.4095226629681
-9.68415658479298 57.7415186265242
-9.21212918348438 56.7975998793752
-9.23764417814971 56.4200323805157
-9.46727913013767 55.5922882484004
-9.37797664880902 55.3308953645746
-8.68907179284512 54.9388060388358
-8.20428689420385 55.2873298839369
-7.24747459425399 55.4035044989706
-6.90302216627204 55.2437644032993
-6.09929983431415 55.2873298839369
-5.69105991966887 54.9097623850773
-5.18076002636228 54.9823715194734
-4.64494513839036 55.5051572871251
-5.12973003703162 55.8682029591055
-5.69105991966887 55.2728080570577
-6.54581224095742 55.7810719978302
-6.40547977029811 56.5216851686702
-6.54581224095742 57.2913419932685
-6.82647718227605 57.4801257426983
-6.34169228363478 57.8286495877995
-5.88242237965885 57.4510820889399
-5.76760490366486 57.8867368953163
-5.0276700583703 58.6273500661563
-4.45358267840038 58.540219104881
